spp_name_lt,Mėginio nr,kodas,total_length,lc,std_length,fish_weight,vnt.,sex_en,month,age_scales,age_scales2,age_difference,age_Elyza,age_Egle,season
Karsis,1,42310001,52,,42.5,1774,,9,7,,,0,,,Summer
Karsis,2,42310002,55,,47,2061,,9,7,,,0,,,Summer
Karsis,3,42310003,54.5,,44.4,1791,,9,7,,,0,,,Summer
Karsis,4,42310004,48.5,,40,1300,,1,7,,,0,,,Summer
Karsis,5,42310005,50.3,,42,1588,,1,7,,,0,,,Summer
Karsis,6,42310006,45.3,,36.5,1335,,1,7,,,0,,,Summer
Karsis,7,42310007,47,,38,1347,,1,7,,,0,,,Summer
Karsis,8,42310008,49,,40,1395,,9,7,,,0,,,Summer
Karsis,9,42310009,49.8,,40,1355,,9,7,,,0,,,Summer
Karsis,10,42310010,45.5,,35.5,1081,,1,7,,,0,,,Summer
Karsis,11,42310011,49.7,,40,1560,,9,7,,,0,,,Summer
Karsis,12,42310012,49,,40,1677,,1,7,,,0,,,Summer
Karsis,13,42310013,49.3,,40.5,1477,,1,7,,,0,,,Summer
Karsis,14,42310014,47,,38,1474,,1,7,,,0,,,Summer
Karsis,15,42310015,51.5,,40.3,1480,,9,7,,,0,,,Summer
Karsis,16,42310016,45.3,,37,1088,,1,7,,,0,,,Summer
Karsis,17,42310017,47.5,,38.5,1190,,9,7,,,0,,,Summer
Karsis,18,42310018,44.5,,36.5,1115,,1,7,,,0,,,Summer
Karsis,19,42310019,55,,44.5,1462,,9,7,,,0,,,Summer
Karsis,20,42310020,47.5,,39.5,1453,,9,7,,,0,,,Summer
Karsis,21,42310021,45.5,,37,1075,,1,7,,,0,,,Summer
Karsis,22,42310022,47,,38.5,1233,,1,7,,,0,,,Summer
Karsis,23,42310023,52,,42,1832,,9,7,,,0,,,Summer
Karsis,24,42310024,45.5,,36.3,1012,,9,7,,,0,,,Summer
Karsis,25,42310025,44.5,,35.3,982,,1,7,,,0,,,Summer
Karsis,26,42310026,44.5,,36.3,1027,,1,7,,,0,,,Summer
Karsis,27,42310027,55,,46,2106,,9,7,,,0,,,Summer
Karsis,28,42310028,46.5,,37.3,1216,,1,7,,,0,,,Summer
Karsis,29,42310029,46.3,,38,1333,,9,7,,,0,,,Summer
Karsis,30,42310030,48,,39,1364,,9,7,,,0,,,Summer
Karsis,31,42310031,48.8,,40,1373,,9,7,,,0,,,Summer
Karsis,32,42310032,50,,41,1287,,1,7,,,0,,,Summer
Karsis,33,42310033,45,,36,1233,,1,7,,,0,,,Summer
Karsis,34,42310034,46.5,,38,1258,,1,7,,,0,,,Summer
Karsis,35,42310035,48.5,,38.5,1164,,9,7,,,0,,,Summer
Karsis,36,42310036,42.3,,34.5,972,,9,7,,,0,,,Summer
Karsis,37,42310037,46.5,,38,1250,,1,7,13,,13,10,12,Summer
Karsis,38,42310038,44.7,,37.5,1211,,1,7,13,,13,9,10,Summer
Karsis,39,42310039,43.3,,35,1042,,1,7,12,,12,8,10,Summer
Karsis,40,42310040,45,,37,1207,,1,7,13,,13,9,11,Summer
Karsis,41,42310041,43.8,,36,1123,,9,7,11,,11,8,11,Summer
Karsis,42,42310042,46.3,,36.5,1144,,9,7,12,,12,,11,Summer
Karsis,43,42310043,46.5,,38,1295,,1,7,12,,12,9,10,Summer
Karsis,44,42310044,48,,39,1343,,9,7,14,,14,13,16,Summer
Karsis,45,42310045,54.5,,44,1875,,1,7,15,,15,15,22,Summer
Karsis,46,42310046,51.5,,43.5,1808,,9,7,14,,14,13,16,Summer
Karsis,47,42310047,40.3,,36.5,1149,,9,7,10,,10,10,11,Summer
Karsis,48,42310048,51.5,,43,1812,,9,7,15,,15,13,15,Summer
Karsis,49,42310049,47,,37,1164,,9,7,,,0,,,Summer
Karsis,50,42310050,48.5,,39.5,1484,,1,7,,,0,,,Summer
Karsis,51,42310051,50,,41,1507,,9,7,,,0,,,Summer
Karsis,52,42310052,45.5,,37.5,1171,,9,7,,,0,,,Summer
Karsis,53,42310053,44.5,,36,1050,,9,7,,,0,,,Summer
Karsis,54,42310054,43,,34.5,1029,,1,7,,,0,,,Summer
Karsis,55,42310055,48,,39,1287,,1,7,,,0,,,Summer
Karsis,56,42310056,46,,37,1122,,9,7,,,0,,,Summer
Karsis,57,42310057,47,,38.5,1317,,9,7,,,0,,,Summer
Karsis,58,42310058,51,,41.5,1387,,9,7,,,0,,,Summer
Karsis,59,42310059,53,,44,2186,,9,7,,,0,,,Summer
Karsis,60,42310060,48,,38.5,1363,,9,7,,,0,,,Summer
Karsis,61,42310061,55,,45,1934,,9,7,,,0,,,Summer
Karsis,62,42310062,49.8,,40,1610,,9,7,,,0,,,Summer
Karsis,63,42310063,43.5,,36,1130,,1,7,,,0,,,Summer
Karsis,64,42310064,47,,38,1088,,1,7,,,0,,,Summer
