Species,method,TLinfinity,K,Auxim,Sex,Type,Loo,sppLinfmean,Linf_stand,year,Locality,x,y
Anoplopoma fimbria,scales,96,0.19,unchecked,female,TL,96,78.98333333,0.177256944,1954,"USA, Oregon",-121.99219,42.45487
Anoplopoma fimbria,scales,78,0.23,unchecked,male,TL,78,78.98333333,-0.012606838,1954,"USA, Oregon",-121.99219,42.45487
Anoplopoma fimbria,otoliths,54.7,0.472,unchecked,male,TL,54.7,78.98333333,-0.443936624,1993,"USA, West coast",-125.33203,40.9799
Anoplopoma fimbria,otoliths,69.5,0.19,unchecked,female,TL,69.5,78.98333333,-0.136450839,1982,Vancouver I. (west coast),-123.55225,49.1817
Anoplopoma fimbria,otoliths,80.8,0.16,unchecked,female,TL,80.8,78.98333333,0.022483498,1982,Queen Charlotte Is. (west coast),-132.84668,53.11381
Anoplopoma fimbria,otoliths,81.6,0.16,unchecked,female,TL,81.6,78.98333333,0.032066993,1982,Queen Charlotte Sound (east coast inlets),-128.27637,51.6998
Anoplopoma fimbria,otoliths,81.7,0.14,unchecked,female,TL,81.7,78.98333333,0.033251734,1982,Vancouver I. (west coast),-123.55225,49.1817
Anoplopoma fimbria,otoliths,64.6,0.26,unchecked,male,TL,64.6,78.98333333,-0.222652219,1982,Queen Charlotte Sound (east coast inlets),-128.27637,51.6998
Anoplopoma fimbria,otoliths,65.7,0.29,unchecked,male,TL,65.7,78.98333333,-0.202181634,1982,Vancouver I. (west coast),-123.55225,49.1817
Anoplopoma fimbria,scales,109.7,0.11,unchecked,female,FL,109.7,78.98333333,0.280006077,1970,Bering Sea,-170.2002,61.48076
Anoplopoma fimbria,scales,79.3,0.2,unchecked,male,FL,79.3,78.98333333,0.003993274,1970,Bering Sea,-170.2002,61.48076
Anoplopoma fimbria,scales,83.5,0.16,unchecked,mixed,FL,83.5,78.98333333,0.054091816,1976,West coast of USA and Canada,-128.84766,48.45835
Anoplopoma fimbria,scales,86.99,0.16,unchecked,mixed,FL,84.9,78.98333333,0.069689831,1976,Bering Sea,-170.2002,61.48076
Anoplopoma fimbria,scales,102.8,0.13,unchecked,mixed,TL,102.8,78.98333333,0.231679637,1976,Bering Sea,-170.2002,61.48076
Anoplopoma fimbria,otoliths,77.46,0.208,unchecked,female,FL,75.6,78.98333333,-0.044753086,2007,"Alaska, Aleutian Islands",-163.73474,54.54021
Anoplopoma fimbria,otoliths,82.18,0.222,unchecked,female,FL,80.2,78.98333333,0.015170407,2007,"Alaska, Aleutian Islands",-163.73474,54.54021
Anoplopoma fimbria,otoliths,66.91,0.227,unchecked,male,FL,65.3,78.98333333,-0.209545687,2007,"Alaska, Aleutian Islands",-163.73474,54.54021
Anoplopoma fimbria,otoliths,69.47,0.29,unchecked,male,FL,67.8,78.98333333,-0.164945919,2007,"Alaska, Aleutian Islands",-163.73474,54.54021
Clupea harengus,otoliths,21,0.38,within ellipse,unsexed,TL,21,32.97419355,-0.570199693,1990,"Finland, Bothnian Bay (Baltic Sea)",23.22264,64.81411
Clupea harengus,otoliths,30.8,0.332,within ellipse,unsexed,TL,30.8,32.97419355,-0.0705907,1986,"Germany, Western Baltic, around Rügen",13.7384,54.4381
Clupea harengus,otoliths,28.3,0.41,unchecked,unsexed,TL,28.3,32.97419355,-0.16516585,1902,"Germany, Western Baltic",13.24951,54.99022
Clupea harengus,otoliths,30.1,0.59,unchecked,unsexed,TL,30.1,32.97419355,-0.095488158,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,30.5,0.44,unchecked,unsexed,TL,30.5,32.97419355,-0.0811211,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,30.9,0.41,unchecked,unsexed,TL,30.9,32.97419355,-0.067126005,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,31.5,0.4,unchecked,unsexed,TL,31.5,32.97419355,-0.046799795,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,31.9,0.36,unchecked,unsexed,TL,31.9,32.97419355,-0.033673779,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,32.1,0.41,unchecked,unsexed,TL,32.1,32.97419355,-0.027233444,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,32.2,0.47,unchecked,unsexed,TL,32.2,32.97419355,-0.024043278,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,32.4,0.38,unchecked,unsexed,TL,32.4,32.97419355,-0.017722023,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,32.4,0.4,within ellipse,unsexed,TL,32.4,32.97419355,-0.017722023,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,32.6,0.26,unchecked,unsexed,TL,32.6,32.97419355,-0.01147833,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,32.8,0.31,unchecked,unsexed,TL,32.8,32.97419355,-0.005310779,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,33.6,0.23,unchecked,unsexed,TL,33.6,32.97419355,0.018625192,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,33.6,0.33,unchecked,unsexed,TL,33.6,32.97419355,0.018625192,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,33.7,0.37,unchecked,unsexed,TL,33.7,32.97419355,0.021537283,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,33.7,0.38,unchecked,unsexed,TL,33.7,32.97419355,0.021537283,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,otoliths,33.8,0.39,unchecked,unsexed,TL,33.8,32.97419355,0.024432144,2005,"UK, North Sea",0.79102,54.64841
Clupea harengus,scales,31.2,0.44,within ellipse,unsexed,TL,31.2,32.97419355,-0.056865178,1978,"Ireland, Dunmore stock",-6.9849,52.15224
Clupea harengus,scales,29.6,0.35,within ellipse,unsexed,TL,29.6,32.97419355,-0.113993025,1978,"UK, Manx stock",-4.61151,54.76426
Clupea harengus,scales,30.6,0.32,within ellipse,unsexed,TL,30.6,32.97419355,-0.077588024,1978,"UK, Manx stock",-4.61151,54.76426
Clupea harengus,scales,35.7,0.34,unchecked,unsexed,TL,35.7,32.97419355,0.076353122,2004,"Norway, west coast",10.08545,64.67092
Clupea harengus,scales,36.4,0.31,unchecked,unsexed,TL,36.4,32.97419355,0.094115562,2004,"Norway, west coast",10.08545,64.67092
Clupea harengus,scales,36.7,0.275,unchecked,unsexed,TL,36.7,32.97419355,0.101520612,2004,"Norway, west coast",10.08545,64.67092
Clupea harengus,scales,37.1,0.255,unchecked,unsexed,TL,37.1,32.97419355,0.111207721,2004,"Norway, west coast",10.08545,64.67092
Clupea harengus,scales,37.3,0.23,unchecked,unsexed,TL,37.3,32.97419355,0.115973363,2004,"Norway, west coast",10.08545,64.67092
Clupea harengus,scales,37.5,0.205,unchecked,unsexed,TL,37.5,32.97419355,0.120688172,2004,"Norway, west coast",10.08545,64.67092
Clupea harengus,scales,38,0.185,unchecked,unsexed,TL,38,32.97419355,0.132258065,2004,"Norway, west coast",10.08545,64.67092
Clupea harengus,otoliths,36.2,0.3,unchecked,unsexed,TL,36.2,32.97419355,0.089110675,1969,"Iceland, Icelandic summer-spawning herring (Division Va)",-15.68848,64.03374
Clupea harengus,otoliths,38,0.25,unchecked,unsexed,TL,38,32.97419355,0.132258065,1969,"Iceland, Icelandic summer-spawning herring (Division Va)",-15.68848,64.03374
Coregonus clupeaformis,scales,58,0.361,unchecked,unsexed,FL,51.8,57.86322917,-0.117050756,1983,"Canada, Lake Huron",-82.02942,45.1278
Coregonus clupeaformis,scales,66.5,0.262,unchecked,unsexed,FL,59.4,57.86322917,0.025871563,1983,"Canada, Lake Huron",-82.02942,45.1278
Coregonus clupeaformis,scales,68.544,0.253,unchecked,unsexed,FL,61.2,57.86322917,0.054522399,1983,"Canada, Lake Huron",-82.02942,45.1278
Coregonus clupeaformis,scales,71.008,0.22,unchecked,unsexed,FL,63.4,57.86322917,0.08733077,1983,"Canada, Lake Huron",-82.02942,45.1278
